stock_code,stock_name,stock_name_chi
237,SAFETY GODOWN CO. LTD,安全貨倉
238,EVERGREEN INTERNATIONAL HOLDINGS LIMITED,長興國際
239,PAK FAH YEOW INTERNATIONAL LIMITED,白花油
240,BUILD KING HOLDINGS LIMITED,利基控股
241,ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,阿里健康
242,SHUN TAK HOLDINGS LIMITED,信德集團
243,QPL INTERNATIONAL HOLDINGS LIMITED,QPL INT'L
244,"THE SINCERE COMPANY, LIMITED",先施
245,CHINA VERED FINANCIAL HOLDING CORPORATION LIMITED,中薇金融
247,TSIM SHA TSUI PROPERTIES LTD,TST PROPERTIES
248,HKC INTERNATIONAL HOLDINGS LIMITED,香港通訊國際控股
250,SINO-I TECHNOLOGY LIMITED,中國數碼信息
251,SEA HOLDINGS LIMITED,爪哇控股
252,SOUTHEAST ASIA PROPERTIES & FINANCE LTD,華信地產財務
253,SHUN HO HOLDINGS LIMITED,順豪控股
254,NATIONAL UNITED RESOURCES HOLDINGS LIMITED,國家聯合資源
255,LUNG KEE (BERMUDA) HOLDINGS LIMITED,龍記集團
256,CITYCHAMP WATCH & JEWELLERY GROUP LIMITED,冠城鐘錶珠寶
257,CHINA EVERBRIGHT ENVIRONMENT GROUP LIMITED,光大環境
258,TOMSON GROUP LIMITED,湯臣集團
259,YEEBO (INTERNATIONAL HOLDINGS) LIMITED,億都(國際控股)
260,AVIC JOY HOLDINGS (HK) LIMITED,幸福控股
261,GBA HOLDINGS LIMITED,GBA集團
262,DESON DEVELOPMENT INTERNATIONAL HOLDINGS LIMITED,迪臣發展國際
263,GT GROUP HOLDINGS LIMITED,高富集團控股
264,CHINA INTERNATIONAL DEVELOPMENT CORPORATION LIMITED,中聯發展控股
265,ORIENT VICTORY TRAVEL GROUP COMPANY LTD,東勝旅遊
266,TIAN TECK LAND LTD,天德地產
267,CITIC LIMITED,中信股份
268,KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED,金蝶國際
269,CHINA RESOURCES AND TRANSPORTATION GROUP LIMITED,中國資源交通
270,GUANGDONG INVESTMENT LIMITED,粵海投資
271,ASIASEC PROPERTIES LIMITED,亞證地產
272,SHUI ON LAND LIMITED,瑞安房地產
273,MASON GROUP HOLDINGS LIMITED,茂宸集團
274,CHINA BILLION RESOURCES LIMITED,中富資源
276,MONGOLIA ENERGY CORPORATION LIMITED,蒙古能源
277,TERN PROPERTIES CO. LTD,太興置業
278,WAH HA REALTY CO. LTD,華廈置業
279,FREEMAN FINTECH CORPORATION LIMITED,民眾金融科技
280,KING FOOK HOLDINGS LTD,景福集團
281,RIVERA (HOLDINGS) LIMITED,川河集團
282,NEXT DIGITAL LIMITED,壹傳媒
285,BYD ELECTRONIC (INTERNATIONAL) COMPANY LIMITED,比亞迪電子
286,AIDIGONG MATERNAL & CHILD HEALTH LIMITED,愛帝宮
287,WINFAIR INVESTMENT CO. LTD,永發置業
288,WH GROUP LIMITED,萬洲國際
289,WING ON COMPANY INTERNATIONAL LIMITED,WING ON CO
290,CHINA FORTUNE FINANCIAL GROUP LIMITED,中國富強金融
291,CHINA RESOURCES BEER (HOLDINGS) COMPANY LIMITED,華潤啤酒
292,ASIA STANDARD HOTEL GROUP LIMITED,泛海酒店
293,CATHAY PACIFIC AIRWAYS LTD,國泰航空
294,YANGTZEKIANG GARMENT LIMITED,長江製衣
295,KONG SUN HOLDINGS LIMITED,江山控股
296,EMPEROR ENTERTAINMENT HOTEL LIMITED,英皇娛樂酒店
297,SINOFERT HOLDINGS LIMITED,中化化肥
298,CHUANG'S CHINA INVESTMENTS LIMITED,莊士中國
299,GLORY SUN LAND GROUP LIMITED,寶新置地
301,SANVO FINE CHEMICALS GROUP LIMITED,三和精化
302,CMGE TECHNOLOGY GROUP LIMITED,中手游
303,VTECH HOLDINGS LIMITED,VTECH HOLDINGS
305,WULING MOTORS HOLDINGS LIMITED,五菱汽車
306,KWOON CHUNG BUS HOLDINGS LIMITED,冠忠巴士集團
307,UP ENERGY DEVELOPMENT GROUP LIMITED,優派能源發展
308,CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED,香港中旅
309,XINHUA NEWS MEDIA HOLDINGS LIMITED,新華通訊頻媒
310,PROSPERITY INVESTMENT HOLDINGS LIMITED,嘉進投資國際
311,LUEN THAI HOLDINGS LIMITED,聯泰控股
312,SHIRBLE DEPARTMENT STORE HOLDINGS (CHINA) LIMITED,歲寶百貨
313,RICHLY FIELD CHINA DEVLOPMENT LIMITED,裕田中國
315,SMARTONE TELECOMMUNICATIONS HOLDINGS LIMITED,數碼通電訊
316,ORIENT OVERSEAS (INTERNATIONAL) LIMITED,東方海外國際
317,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,中船防務
318,VONGROUP LIMITED,黃河實業
320,COMPUTIME GROUP LIMITED,金寶通
321,TEXWINCA HOLDINGS LIMITED,德永佳集團
322,TINGYI (CAYMAN ISLANDS) HOLDING CORP.,康師傅控股
323,MAANSHAN IRON & STEEL COMPANY LIMITED,馬鞍山鋼鐵股份
326,CHINA STAR ENTERTAINMENT LIMITED,中國星集團
327,PAX GLOBAL TECHNOLOGY LIMITED,百富環球
328,ALCO HOLDINGS LIMITED,ALCO HOLDINGS
329,OCI INTERNATIONAL HOLDINGS LIMITED,東建國際
330,ESPRIT HOLDINGS LIMITED,思捷環球
331,FSE LIFESTYLE SERVICES LIMITED,豐盛生活服務
332,YUAN HENG GAS HOLDINGS LIMITED,元亨燃氣
333,TOP FORM INTERNATIONAL LIMITED,黛麗斯國際
334,CHINA DISPLAY OPTOELECTRONICS TECHNOLOGY HOLDINGS LIMITED,華顯光電
335,UPBEST GROUP LIMITED,美建集團
336,HUABAO INTERNATIONAL HOLDINGS LIMITED,華寶國際
337,GREENLAND HONG KONG HOLDINGS LIMITED,綠地香港
338,SINOPEC SHANGHAI PETROCHEMICAL COMPANY LIMITED,上海石油化工股份
339,CORE ECONOMY INVESTMENT GROUP LIMITED,核心經濟投資
340,TONGGUAN GOLD GROUP LIMITED,潼關黃金
341,CAFE DE CORAL HOLDINGS LTD,大家樂集團
342,NEWOCEAN ENERGY HOLDINGS LIMITED,新海能源
343,CULTURECOM HOLDINGS LIMITED,文化傳信
345,VITASOY INTERNATIONAL HOLDINGS LTD,VITASOY INT'L
346,YANCHANG PETROLEUM INTERNATIONAL LIMITED,延長石油國際
347,ANGANG STEEL COMPANY LIMITED,鞍鋼股份
348,CHINA HEALTHWISE HOLDINGS LIMITED,中國智能健康
351,ASIA ENERGY LOGISTICS GROUP LIMITED,亞洲能源物流
352,FORTUNE SUN (CHINA) HOLDINGS LIMITED,富陽
