participant_id,participant_name,participant_name_chi
B01096,WARDLEY BROKERS LTD,WARDLEY BROKERS LTD
B01099,KGI SEAPOWER SECURITIES LTD,KGI SEAPOWER SECURITIES LTD
B01100,VICKERS BALLAS HONG KONG SECURITIES LTD,VICKERS BALLAS HONG KONG SECURITIES LTD
B01103,SASSOON SECURITIES LTD,SASSOON SECURITIES LTD
B01104,SMITH NEW COURT FAR EAST LTD,SMITH NEW COURT FAR EAST LTD
B01107,WAH CHEONG SECURITIES CO,WAH CHEONG SECURITIES CO
B01108,HONOUR SECURITIES CO LTD,HONOUR SECURITIES CO LTD
B01110,J.P. MORGAN BROKING (HONG KONG) LTD,J.P. MORGAN BROKING (HONG KONG) LTD
B01112,DANNIS LEE & CO,DANNIS LEE & CO
B01114,YUANTA BROKERAGE CO LTD,元大證券經紀有限公司
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,申萬宏源證券(香港)有限公司
B01116,HONG KONG WAN KIU INVESTMENT CO,HONG KONG WAN KIU INVESTMENT CO
B01118,EAST ASIA SECURITIES CO LTD,東亞證券有限公司
B01119,CELESTIAL SECURITIES LTD,時富證券有限公司
B01120,JS CRESVALE SECURITIES ASIA LTD,日盛嘉富證券(亞洲)有限公司
B01121,SG SECURITIES (HK) LTD,法國興業證券(香港)有限公司
B01123,HING WONG SECURITIES LTD,興旺證券有限公司
B01124,CHEKIANG FIRST SECURITIES CO LTD,CHEKIANG FIRST SECURITIES CO LTD
B01125,I & P SECURITIES LTD,I & P SECURITIES LTD
B01127,REORIENT FINANCIAL MARKETS LTD,REORIENT FINANCIAL MARKETS LTD
B01129,WOCOM SECURITIES LTD,宏高證券有限公司
B01130,BOCI SECURITIES LTD,中銀國際證券有限公司
B01131,COMMERCIAL INVESTMENT CO LTD,COMMERCIAL INVESTMENT CO LTD
B01133,RBC INVESTMENT SERVICES (ASIA) LTD,加皇投資理財有限公司
B01135,UNITED WORLD SECURITIES (INTERNATIONAL),UNITED WORLD SECURITIES (INTERNATIONAL)
B01137,CHOW SANG SANG SECURITIES LTD,周生生證券有限公司
B01138,CLSA LTD,中信里昂證券有限公司
B01140,MPI SECURITIES (ASIA) LTD,MPI SECURITIES (ASIA) LTD
B01141,FE SECURITIES LTD,廣利証券有限公司
B01142,SHING ON SECURITIES LTD,SHING ON SECURITIES LTD
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,海通國際證券有限公司
B01144,TAK FUNG SHARES INVESTMENT CO LTD,德豐證券投資有限公司
B01146,GOLDENWAY SECURITIES CO,GOLDENWAY SECURITIES CO
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,招商證券(香港)有限公司
B01149,ABN AMRO ASIA SECURITIES (HONG KONG) LTD,ABN AMRO ASIA SECURITIES (HONG KONG) LTD
B01150,MTF SECURITIES LTD,名泰富證券有限公司
B01152,YU ON SECURITIES CO LTD,YU ON SECURITIES CO LTD
B01156,YAT LUNG SECURITIES LTD,壹隆證券有限公司
B01157,PASAY STOCK AND SHARES LTD,巴西證券有限公司
B01158,SOLID KING SECURITIES LTD,堅固證券有限公司
B01160,CHEONG WOON SECURITIES CO,CHEONG WOON SECURITIES CO
B01161,UBS SECURITIES HONG KONG LTD,UBS SECURITIES HONG KONG LTD
B01163,KA WING SECURITIES CO,KA WING SECURITIES CO
B01166,KING FOOK SECURITIES CO LTD,KING FOOK SECURITIES CO LTD
B01168,GRAND SECURITIES CO,GRAND SECURITIES CO
B01169,PUBLIC FINANCIAL SECURITIES LTD,大眾金融証券有限公司
B01170,PBI SECURITIES HONG KONG LTD,PBI SECURITIES HONG KONG LTD
B01171,PROMISING SECURITIES CO,PROMISING SECURITIES CO
B01173,RIFA SECURITIES LTD,日發證券有限公司
B01174,DBS VICKERS SECURITIES (HONG KONG),DBS VICKERS SECURITIES (HONG KONG)
B01175,F. R. ZIMMERN LTD,F. R. ZIMMERN LTD
B01179,GRANSING SECURITIES & INVESTMENT CO,GRANSING SECURITIES & INVESTMENT CO
B01181,FOSUN HANI SECURITIES LTD,復星恆利證券有限公司
